Name,Use Case,Price,URL,Platform
Artly,"Artly is a WordPress theme designed for blogs and magazines. Its modern, offset layout for posts and pages comes in three style variations, allowing you to showcase your content in a visually stunning and functional way. With Artly, you can display your content beautifully and efficiently, all in a package that is easy to use and customize.",Free,https://wordpress.com/theme/artly?tab_filter=all&tier_filter=free,WordPress
Common,"Common‘s style is anything but ordinary and it speaks for itself. The unique combination of an uppercase monospaced font and aesthetically pleasing demo content creates an excellent foundation for any website. Common is perfect for showcasing photos, articles, or collections of content. With its ever-present sidebar menu, browsing through content is both effortless and enjoyable.",Free,https://wordpress.com/theme/common?tab_filter=all&tier_filter=free,WordPress
Covr,"Covr is a beautifully crafted theme that boasts a clean and modern design, specifically created to showcase images in an immersive and captivating way. Its full-width home template elegantly displays your portfolio, photography, or personal blog posts, providing an enjoyable browsing experience for your audience. Additionally, Covr’s highly functional single post template allows you to showcase your work or tell your stories in a compelling manner. Whether you’re a photographer, artist, or blogger, Covr is the perfect choice to present your work and make an impact.",Free,https://wordpress.com/theme/covr?tab_filter=all&tier_filter=free,WordPress
Fewer,"Fewer is perfect for showcasing portfolios and blogs. With a clean and opinionated design, it offers excellent typography and style variations that make it easy to present your work or business. The theme is highly versatile, making it ideal for bloggers and businesses alike, and it offers a range of customizable options that allow you to tailor your site to your specific needs.",Free,https://wordpress.com/theme/fewer?tab_filter=all&tier_filter=free,WordPress
Nested,Nested is a blog design that displays posts overlapping featured images as a Matryoshka effect.,Free,https://wordpress.com/theme/nested?tab_filter=all&tier_filter=free,WordPress
Programme,"Programme is a blog theme inspired by the legendary designer Massimo Vignelli and his playbills for the Piccolo Teatro in Milan. This theme is perfect for showcasing programs, calendars, and announcements.",Free,https://wordpress.com/theme/programme?tab_filter=all&tier_filter=free,WordPress
Fotograma,Fotograma is a portfolio theme for photographers seeking to showcase powerful photography in large sizes. Inter semi-bold is the typeface for this theme. It also comes with a white-style variation.,Free,https://wordpress.com/theme/fotograma?tab_filter=all&tier_filter=free,WordPress
Bibliophile,"Bibliophile was designed to provide an impeccable reading experience. Its header on the left sidebar adds context, while its posts and content are elegantly displayed on the right. Inspired by printed books and with carefully chosen font sizes, Bibliophile offers a great solution for websites across devices. The layout is user-friendly and allows for seamless navigation, making it an ideal choice for those who enjoy reading on-the-go.",Free,https://wordpress.com/theme/bibliophile?tab_filter=all&tier_filter=free,WordPress
Poesis,"Poesis pays homage to the literary figures represented in the painting “Six Tuscan Poets” by the Italian Renaissance painter, architect, and art historian Giorgio Vasari and is ideal for poetry or short stories. The theme’s main feature is its split layout, with a full height column containing a sticky header and footer and scrollable content on the other column.",Free,https://wordpress.com/theme/poesis?tab_filter=all&tier_filter=free,WordPress
Jaida,"Jaida is a WordPress block theme specifically designed to meet the needs of bloggers. This theme features a visually captivating homepage that presents your content in an elegant grid layout, ensuring maximum visibility and engagement. Furthermore, Jaida offers a thoughtfully crafted post template with a sidebar, enabling seamless navigation and enhanced user experience while exploring your blog posts.",Free,https://wordpress.com/theme/jaida?tab_filter=all&tier_filter=free,WordPress
Sten,"Sten is a minimal blogging theme with a simple, straightforward index template and post templates that contain a sidebar.",Free,https://wordpress.com/theme/sten?tab_filter=all&tier_filter=free,WordPress
Grammer One,Bring the social media experience to your site and transform it into a repository for your photos and videos. Get Grammer One now.,Free,https://wordpress.com/theme/grammerone?tab_filter=all&tier_filter=free,WordPress
Issue,"Issue is a magazine theme focused on sizable typography and imagery to grow your blog posts, reviews, artwork, and news.",Free,https://wordpress.com/theme/issue?tab_filter=all&tier_filter=free,WordPress
Screenplay,Screenplay is a simple blog theme that suits perfectly writers or the general public that would like to have their sites formatted as movie scripts.,Free,https://wordpress.com/theme/screenplay?tab_filter=all&tier_filter=free,WordPress
Pieria,"Pieria is a theme focused on typography — essentially following a low-level styling approach. Its headings, paragraphs, links, and navigation have the same appearance, with everything sitting quietly into simple columns that split navigation, blog posts, and a content block. A soft design to make your content sparkle.",Free,https://wordpress.com/theme/pieria?tab_filter=all&tier_filter=free,WordPress
Curriculum,"Curriculum is a blog theme that echoes the structure of a professional profile page, with its original visuals and interesting navigation. It’s suitable for the general public and displays information, experiences, and education.",Free,https://wordpress.com/theme/curriculum?tab_filter=all&tier_filter=free,WordPress
Bute,Bute is a blog theme that has a full-screen front page.,Free,https://wordpress.com/theme/bute?tab_filter=all&tier_filter=free,WordPress
Freddie,"Freddie is a theme using a full-screen background image to captivate the viewer with a brief, immersive moment.",Free,https://wordpress.com/theme/freddie?tab_filter=all&tier_filter=free,WordPress
Negai,"Negai is a bold blogging theme that thrives on unadorned simplicity and minimalistic elegance. With the monochromatic hues, the straightforward and unapologetic aesthetic is as striking as some Brutalist designs on the web.",Free,https://wordpress.com/theme/negai?tab_filter=all&tier_filter=free,WordPress
Trellick,"Trellick is a raw, brutalist blog theme that strips away the polished veneer of the “samey” web design to show the untamed essence of the digital realm.",Free,https://wordpress.com/theme/trellick?tab_filter=all&tier_filter=free,WordPress
Tomoni,"Tomoni is a theme that displays a use case of multilingual content in English and Japanese. It’s inspired by wall labels in museums, roadsigns or posters in large immigrant communities that are important to reaching a more international audience.",Free,https://wordpress.com/theme/tomoni?tab_filter=all&tier_filter=free,WordPress
JinJang,"JinJang is a blog theme with a split, 50:50 layout like Yin Yang. It’s stark and bold and uses larger sizes of system font throughout the theme.",Free,https://wordpress.com/theme/jinjang?tab_filter=all&tier_filter=free,WordPress
Optimismo,Optimismo is a simple blog theme with a bold aesthetic—inspired by a UK rave party flyer in the late ’80s.,Free,https://wordpress.com/theme/optimismo?tab_filter=all&tier_filter=free,WordPress
Kigen,"Kigen is a simple portfolio theme for one who quickly wants to showcase their art with a biography text. The design is straightforward. The front page has a gallery at the top, followed by a column block with links to social media and a biography text. The font, Newsreader conveys a classical sense while maintaining an authoritative feel. You’ll discover playfulness from the artist with the border at the bottom. The border is a pattern that is easy to remove or change its colours and add anywhere on the site.",Free,https://wordpress.com/theme/kigen?tab_filter=all&tier_filter=free,WordPress
BSoJ,BSoJ (Blue Screen of Joy) is a blog theme inspired by the infamous Blue Screen of Death.,Free,https://wordpress.com/theme/bsoj?tab_filter=all&tier_filter=free,WordPress
Lineup,Lineup is a ’90s D.I.Y. fanzine-inspired theme that lists entries with bold typography and colour that are highly opinionated.,Free,https://wordpress.com/theme/lineup?tab_filter=all&tier_filter=free,WordPress
Otis,"Otis is a WordPress block theme that is well-suited for personal blogging. It is designed to provide a polished, modern user experience. Its default templates include an opinionated header template with large type, and straightforward single and page templates, which are particularly useful for users who do not want to include images on their site. Otis’ strong design point of view encourages users to follow its design principles. It is focused on simplicity and readability, with a clean and uncluttered layout that allows readers to easily navigate content.",Free,https://wordpress.com/theme/otis?tab_filter=all&tier_filter=free,WordPress
Loïc,"Loïc is a simple blogging theme ideal for writers. What sets it apart is its attention to detail—aside from the Index templates, the theme replaces the site title with the post or query title in its templates, adding a unique touch to each page. Loïc features five color variations, providing a range of options to effortlessly transform your website’s tone to suit individual preferences.",Free,https://wordpress.com/theme/loic?tab_filter=all&tier_filter=free,WordPress
Ueno,Ueno is suitable for any kind of blog or website. It has an opinionated default style and two alternative style variations. Ueno was inspired by Japanese kimono patterns and designs attributed to Ueno Seikō.,Free,https://wordpress.com/theme/ueno?tab_filter=all&tier_filter=free,WordPress
George Lois,"A theme in homage to George Lois, visionary American Art Director, and author. We will all miss your big ideas. Rest in Peace, George. From the Creative People of Automattic.",Free,https://wordpress.com/theme/george-lois?tab_filter=all&tier_filter=free,WordPress
Storia,"Storia is a stunning visual story theme designed to showcase your creative work and engage your audience. With featured images and a minimalist design, this theme allows your visual content to take center stage and tell a compelling story.",Free,https://wordpress.com/theme/storia?tab_filter=all&tier_filter=free,WordPress
Poema,"Poema pays tribute to the revered Portuguese writer and poet Fernando Pessoa and his various pseudonyms. Its minimalist design features a black-and-white color scheme, complemented by an elegant serif font. Poema’s carefully crafted templates boast a comfortable content width and meticulously considered white space that creates a calming and immersive reading experience, ideal for the appreciation of poetry.",Free,https://wordpress.com/theme/poema?tab_filter=all&tier_filter=free,WordPress
Hey,,Free,https://wordpress.com/theme/hey?tab_filter=all&tier_filter=free,WordPress
CTLG,"CTLG is a free, responsive WordPress block theme specifically designed for creating lists, directories, and catalogs. It comes with a variety of pre-designed templates and four distinct style variations. Its index template features a full-width header, followed by a right-aligned query loop where you can display blog posts or pages, and a simple full-width footer. Its post and page templates follow the same layout.",Free,https://wordpress.com/theme/ctlg?tab_filter=all&tier_filter=free,WordPress
Paimio,,Free,https://wordpress.com/theme/paimio?tab_filter=all&tier_filter=free,WordPress
Vetro,"We know starting from scratch can be daunting, so we have clear, step-by-step instructions and video tutorials to help you build an attractive website. If you’d like to skip right to a specific section, click on the relevant link below.",Free,https://wordpress.com/theme/vetro?tab_filter=all&tier_filter=free,WordPress
Adventurer,"We know starting from scratch can be daunting, so we have clear, step-by-step instructions and video tutorials to help you build an attractive website. If you’d like to skip right to a specific section, click on the relevant link below.",Free,https://wordpress.com/theme/adventurer?tab_filter=all&tier_filter=free,WordPress
Bitácora,Bitácora — an old-school theme for a sidebar revival.,Free,https://wordpress.com/theme/bitacora?tab_filter=all&tier_filter=free,WordPress
Upsidedown,"We know starting from scratch can be daunting, so we have clear, step-by-step instructions and video tutorials to help you build an attractive website. If you’d like to skip right to a specific section, click on the relevant link below.",Free,https://wordpress.com/theme/upsidedown?tab_filter=all&tier_filter=free,WordPress
Tú,Tú is a theme about you. This is perfect if you want a simple page to show who you are.,Free,https://wordpress.com/theme/tu?tab_filter=all&tier_filter=free,WordPress
Loudness,Loudness is a bold opinionated theme created with music education in mind.  Use Full Site Editing tooling and relevant patterns to create a unique experience.,Free,https://wordpress.com/theme/loudness?tab_filter=all&tier_filter=free,WordPress
Muscat,Muscat is a simple blogging theme with grid post templates and a centered post layout.,Free,https://wordpress.com/theme/muscat?tab_filter=all&tier_filter=free,WordPress
Twenty Twenty-Three,Twenty Twenty-Three is designed to take advantage of the new design tools introduced in WordPress 6.1.,Free,https://wordpress.com/theme/twentytwentythree?tab_filter=all&tier_filter=free,WordPress
Calyx,"Calyx is a minimalist theme designed for single-page websites. Featuring a coming-soon pattern on the homepage, Calyx is a perfect choice to spread the word about the upcoming opening of a cafe, restaurant, or bar.",Free,https://wordpress.com/theme/calyx?tab_filter=all&tier_filter=free,WordPress
Masu,Masu is a blog theme inspired by a traditional square wooden box used to measure rice in Japan.,Free,https://wordpress.com/theme/masu?tab_filter=all&tier_filter=free,WordPress
Spearhead,"Spearhead Blocks is a podcasting starter theme with Full Site Editing features. A modernized version of the original Spearhead, this theme will allow you easily customize your podcast website.",Free,https://wordpress.com/theme/spearhead-blocks?tab_filter=all&tier_filter=free,WordPress
Pixl,Pixl is a simple yet opinionated blogging theme inspired by websites of the nineties.,Free,https://wordpress.com/theme/pixl?tab_filter=all&tier_filter=free,WordPress
Rainfall,"Rainfall is a clean, objective blogging theme strongly inspired by Swiss Design. Its minimalist functionality is balanced by a strong accent color, beautiful photography and post templates with sidebars.",Free,https://wordpress.com/theme/rainfall?tab_filter=all&tier_filter=free,WordPress
Disco,"Disco is a funky, vibrant, opinionated theme with a monospaced font. Both its styles and spacing form an edgy aesthetic perfect for those looking to build a quirky website.",Free,https://wordpress.com/theme/disco?tab_filter=all&tier_filter=free,WordPress
Lettre,Lettre is a theme for writers that want to publish a newsletter.,Free,https://wordpress.com/theme/lettre?tab_filter=all&tier_filter=free,WordPress
Vivre,"Vivre is a bold, opinionated blogging theme, heavily inspired by fashion and lifestyle magazines and websites. With large heavy sans-serif paired with a light elegant serif font, it sets the tone to a refined reading experience.",Free,https://wordpress.com/theme/vivre?tab_filter=all&tier_filter=free,WordPress
Remote,"Remote is a dark, minimal block theme ideal for bloggers. Its default styles – a sans-serif font and dark background – contribute for a comfortable, immersive reading experience. It features a set of bold block patterns such as a large posts list and bordered categories and tags.",Free,https://wordpress.com/theme/remote?tab_filter=all&tier_filter=free,WordPress
Archeo,"Archeo is a theme inspired by Mayan history and culture, with a classic magazine-style mix of elegant typography and an interesting layout. With its archeology-inspired imagery and color tones, it’s a truly distinctive theme.",Free,https://wordpress.com/theme/archeo?tab_filter=all&tier_filter=free,WordPress
Skatepark,"Skatepark is a bold and exciting WordPress theme designed for modern events and organizations. With its simple but vivid color default scheme, duotone support, and playful grid, Skatepark is a theme designed for work and play.",Free,https://wordpress.com/theme/skatepark?tab_filter=all&tier_filter=free,WordPress
Marl,"Marl is a minimal, product-focused theme featuring Payments block. Its earthy, organic look makes it a perfect match for handmade artisanal items or natural health and beauty products.",Free,https://wordpress.com/theme/marl?tab_filter=all&tier_filter=free,WordPress
Attar,"Attar is a minimal, product-focused theme featuring Payments block. It combines a modern layout with a high-contrast, elegant style that makes it a perfect match for selling beauty, health, or cosmetic products.",Free,https://wordpress.com/theme/attar?tab_filter=all&tier_filter=free,WordPress
Winkel,"Winkel is a minimal, product-focused theme featuring Payments block. Its clean, cool look combined with a simple layout makes it perfect for showcasing fashion items – clothes, shoes, and accessories.",Free,https://wordpress.com/theme/winkel?tab_filter=all&tier_filter=free,WordPress
Twenty Twenty-Two,"Built on a solidly designed foundation, Twenty Twenty-Two embraces the idea that everyone deserves a truly unique website. The theme’s subtle styles are inspired by the diversity and versatility of birds: its typography is lightweight yet strong, its color palette is drawn from nature, and its layout elements sit gently on the page.",Free,https://wordpress.com/theme/twentytwentytwo?tab_filter=all&tier_filter=free,WordPress
Stewart,"Stewart is a modern blogging theme with a left sidebar. Its default color scheme is a striking combination of orange and light gray, to give your blog a sophisticated appearance from day one.",Free,https://wordpress.com/theme/stewart?tab_filter=all&tier_filter=free,WordPress
Videomaker,Videomaker is a minimalistic WordPress theme ideal for film directors and video creators.,Free,https://wordpress.com/theme/videomaker?tab_filter=all&tier_filter=free,WordPress
Livro,Livro is a simple theme designed to evoke the calm feeling you get when you settle in with a classic book.,Free,https://wordpress.com/theme/livro?tab_filter=all&tier_filter=free,WordPress
Jackson,"Jackson is a minimalist theme, designed for single-page websites. Its single post and page layouts have no header, navigation menus, or widgets, so the page you design in the WordPress editor is just the same page you’ll see on the front end.",Free,https://wordpress.com/theme/jackson?tab_filter=all&tier_filter=free,WordPress
Twenty Twenty-Two (Swiss),"Built on a solidly designed foundation, Twenty Twenty-Two (Swiss) embraces the idea that everyone deserves a truly unique website. The theme’s subtle styles are inspired by the diversity and versatility of birds: its typography is lightweight yet strong and its layout elements sit gently on the page.",Free,https://wordpress.com/theme/twentytwentytwo-swiss?tab_filter=all&tier_filter=free,WordPress
Arbutus,"Arbutus is an image-centric WordPress theme with a clean layout, designed to help you showcase your favorite images with minimal distractions. Whether you’re an amateur or a professional photographer looking for a canvas on which to display your work, Arbutus is an excellent choice.",Free,https://wordpress.com/theme/arbutus?tab_filter=all&tier_filter=free,WordPress
Geologist - Cream,"Geologist (Cream) is a streamlined theme for modern bloggers. It consists of a simple single column of posts, paired with a sophisticated color palette and beautiful serif typography.",Free,https://wordpress.com/theme/geologist-cream?tab_filter=all&tier_filter=free,WordPress
Russell,"Russell is an elegant and modern theme for personal blogs. Crafted with fashion, lifestyle, and travel bloggers in mind, Russell provides a subtle yet refined look that can be further customized with different colors and font pairings to match your vision perfectly.",Free,https://wordpress.com/theme/russell?tab_filter=all&tier_filter=free,WordPress
Zoologist,"Zoologist is a streamlined theme for modern bloggers. It consists of a simple single column of posts, paired with a sophisticated color palette and beautiful sans-serif typography.",Free,https://wordpress.com/theme/zoologist?tab_filter=all&tier_filter=free,WordPress
Quadrat,"Quadrat is a simple, versatile WordPress theme, designed for blogs and podcasts. Inspired by squared shapes and colourful, minimalist flat illustrations, Quadrat includes a set of custom images you can use on your site in block patterns. Quadrat’s default styles are bold and playful, relying on a simple sans-serif font and a strong color scheme that you can customize.",Free,https://wordpress.com/theme/quadrat?tab_filter=all&tier_filter=free,WordPress
Geologist,"Geologist is a streamlined theme for modern bloggers. It consists of a simple single column of posts, paired with a sophisticated color palette and beautiful sans-serif typography.",Free,https://wordpress.com/theme/geologist?tab_filter=all&tier_filter=free,WordPress
Bantry,"Bantry is a minimalist theme, designed for single-page websites. Its single post and page layouts have no header, navigation menus, or widgets, so the page you design in the WordPress editor is just the same page you’ll see on the front end.",Free,https://wordpress.com/theme/bantry?tab_filter=all&tier_filter=free,WordPress
Bradford,"Bradford is a minimalist theme, designed for single-page websites. Its single post and page layouts have no header, navigation menus, or widgets, so the page you design in the WordPress editor is just the same page you’ll see on the front end.",Free,https://wordpress.com/theme/bradford?tab_filter=all&tier_filter=free,WordPress
Baker,"Baker is a minimalist theme, designed for single-page websites. Its single post and page layouts have no header, navigation menus, or widgets, so the page you design in the WordPress editor is just the same page you’ll see on the front end.",Free,https://wordpress.com/theme/baker?tab_filter=all&tier_filter=free,WordPress
Twenty Twenty-Two (Red),"Built on a solidly designed foundation, Twenty Twenty-Two (Red) embraces the idea that everyone deserves a truly unique website. The theme’s subtle styles are inspired by the diversity and versatility of birds: its typography is lightweight yet strong and its layout elements sit gently on the page.",Free,https://wordpress.com/theme/twentytwentytwo-red?tab_filter=all&tier_filter=free,WordPress
Twenty Twenty-One,"As the name suggests, Twenty Twenty-One is the default WordPress theme for 2021! This theme is a blank canvas for your ideas and it makes the block editor your best brush.",Free,https://wordpress.com/theme/twentytwentyone?tab_filter=all&tier_filter=free,WordPress
Shine,Elevating Brands with Customizable Elegance and Long-Lasting Impact,$210 USD,https://themes.shopify.com/themes/shine/styles/sophisticated?locale=en&surface_inter_position=1&surface_intra_position=1&surface_type=all,Shopify
Taste,Ideal for speciality products and bold branding,Free,https://themes.shopify.com/themes/taste/styles/default?locale=en&surface_inter_position=1&surface_intra_position=2&surface_type=all,Shopify
Motion,Bring your brand to life with animation and video,$360 USD,https://themes.shopify.com/themes/motion/styles/classic?locale=en&surface_inter_position=1&surface_intra_position=3&surface_type=all,Shopify
Craft,A refined theme that celebrates craftsmanship.,Free,https://themes.shopify.com/themes/craft/styles/default?locale=en&surface_inter_position=1&surface_intra_position=4&surface_type=all,Shopify
Symmetry,"Versatile, fashionable, professional theme with premium features.",$380 USD,https://themes.shopify.com/themes/symmetry/styles/chantilly?locale=en&surface_inter_position=1&surface_intra_position=5&surface_type=all,Shopify
Publisher,An avant-garde theme inspired by independent studios and publishers.,Free,https://themes.shopify.com/themes/publisher/styles/default?locale=en&surface_inter_position=1&surface_intra_position=6&surface_type=all,Shopify
Prestige,"Designed for premium, high-end brand appeal",$380 USD,https://themes.shopify.com/themes/prestige/styles/allure?locale=en&surface_inter_position=1&surface_intra_position=7&surface_type=all,Shopify
Be Yours,"Build, boost & scale your store with 8-hour support.",$320 USD,https://themes.shopify.com/themes/be-yours/styles/beauty?locale=en&surface_inter_position=1&surface_intra_position=8&surface_type=all,Shopify
Baseline,A brutalist-inspired theme for a beautifully-curated storefront.,$350 USD,https://themes.shopify.com/themes/baseline/styles/modern?locale=en&surface_inter_position=1&surface_intra_position=9&surface_type=all,Shopify
Spotlight,A streamlined theme designed to quickly start selling.,Free,https://themes.shopify.com/themes/spotlight/styles/default?locale=en&surface_inter_position=1&surface_intra_position=10&surface_type=all,Shopify
Local,"Create a cohesive experience for your customers, online and in person",$360 USD,https://themes.shopify.com/themes/local/styles/light?locale=en&surface_inter_position=1&surface_intra_position=11&surface_type=all,Shopify
Mr Parker,Sharp images and a variety of features for multi variant products,$240 USD,https://themes.shopify.com/themes/mr-parker/styles/wardrobe?locale=en&surface_inter_position=1&surface_intra_position=12&surface_type=all,Shopify
Mandolin,"Flexible, easy to use and focused on an elegant user experience.",$320 USD,https://themes.shopify.com/themes/mandolin/styles/neat?locale=en&surface_inter_position=1&surface_intra_position=13&surface_type=all,Shopify
Enterprise,"A new benchmark in store speed and conversion. Sell faster, sell more.",$380 USD,https://themes.shopify.com/themes/enterprise/styles/digital?locale=en&surface_inter_position=1&surface_intra_position=14&surface_type=all,Shopify
Combine,"Bundle products & increase average order value, sales & revenue",$360 USD,https://themes.shopify.com/themes/combine/styles/objects?locale=en&surface_inter_position=1&surface_intra_position=15&surface_type=all,Shopify
Vision,Optimized via AI to increase conversions.,$300 USD,https://themes.shopify.com/themes/vision/styles/default?locale=en&surface_inter_position=1&surface_intra_position=16&surface_type=all,Shopify
Dawn,A minimalist theme that lets product images take center stage.,Free,https://themes.shopify.com/themes/dawn/styles/default?locale=en&surface_inter_position=1&surface_intra_position=17&surface_type=all,Shopify
Bullet,Minimal grid based theme for contemporary brands.,$320 USD,https://themes.shopify.com/themes/bullet/styles/default?locale=en&surface_inter_position=1&surface_intra_position=18&surface_type=all,Shopify
Refresh,A bold theme that elevates product quality and brand storytelling.,Free,https://themes.shopify.com/themes/refresh/styles/default?locale=en&surface_inter_position=1&surface_intra_position=19&surface_type=all,Shopify
Expanse,"A clean, versatile theme for large inventories",$380 USD,https://themes.shopify.com/themes/expanse/styles/modern?locale=en&surface_inter_position=1&surface_intra_position=20&surface_type=all,Shopify
Honey,"A highly flexible, quick set-up theme made for precious products.",$390 USD,https://themes.shopify.com/themes/honey/styles/paws?locale=en&surface_inter_position=1&surface_intra_position=21&surface_type=all,Shopify
Kingdom,"An image-focused theme, designed around a stylish signature sidebar",$260 USD,https://themes.shopify.com/themes/kingdom/styles/king?locale=en&surface_inter_position=1&surface_intra_position=22&surface_type=all,Shopify
Habitat,The natural environment for your products,$300 USD,https://themes.shopify.com/themes/habitat/styles/default?locale=en&surface_inter_position=1&surface_intra_position=23&surface_type=all,Shopify
Showcase,"Beautiful, exciting + bold design with powerful tools. Make an impact!",$320 USD,https://themes.shopify.com/themes/showcase/styles/native?locale=en&surface_inter_position=1&surface_intra_position=24&surface_type=all,Shopify
North,Create a web presence you're proud of,$220 USD,https://themes.shopify.com/themes/north/styles/default?locale=en&surface_inter_position=2&surface_intra_position=1&surface_type=all,Shopify
